id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
853840,Sun Studio City Center @ Top Location-Nice Balcony,2361433,1462523756770033213,Raúl,CIUTAT VELLA,EL MERCAT,39.47234,-0.3775,Entire home/apt,155.0,1,122,2026-06-15,0.89,2,85,15,Valencia - Regional registration number<br />VT-38806-V<br /><br />Spain - National registration number<br />ESFCTU000046055000272010000000000000000000VT-38806-V1
864794,Apartamento en el corazón Valencia,3964897,1462532814576224204,Ricardo,CIUTAT VELLA,LA XEREA,39.4715,-0.37196,Entire home/apt,73.0,10,105,2026-06-14,2.37,1,294,22,Spain - National registration number<br />Exempt - tourist apartment<br /><br />Valencia - Regional registration number<br />Exempt - seasonal rental
880307,SUNNY VALENCIA,4655487,1462662540800784853,Oscar,JESUS,LA RAIOSA,39.45987,-0.38732,Entire home/apt,70.0,21,137,2026-05-30,0.85,1,78,6,Spain - National registration number<br />ESFCNT00004606300012019400000000000000000000000000005<br /><br />Valencia - Regional registration number<br />Exempt - seasonal rental
923390,NOMAD Flats * Central & Bright 2 Bd+wifi,4966350,1462669585727877823,Avatar Valencia,CIUTAT VELLA,SANT FRANCESC,39.46951,-0.37527,Entire home/apt,228.0,1,416,2026-06-17,2.56,9,194,44,Spain - National registration number<br />ESFCTU000046025000597680000000000000000000VT-41254-V4<br /><br />Valencia - Regional registration number<br />VT-41254-V
927457,Nuevo Corazón del Centro Loft+WIFI,4356813,1462654701183453363,Laura Y Lucia,CIUTAT VELLA,SANT FRANCESC,39.46949,-0.37353,Entire home/apt,160.0,1,467,2026-06-24,2.88,1,47,34,Valencia - Regional registration number<br />VT-38490-V<br /><br />Spain - National registration number<br />ESFCTU00004602500025636500000000000000000VUT-38490-V9
929005,sunny single bedroom city centre,5001171,1462670443787494847,Tony,L'EIXAMPLE,RUSSAFA,39.46041,-0.37373,Private room,46.0,2,104,2026-06-21,0.83,1,254,21,
938734,A centric loft,4708020,1462536934250701039,Happy Apartments Valencia,CIUTAT VELLA,SANT FRANCESC,39.46894,-0.37549,Entire home/apt,126.0,1,89,2026-06-11,0.56,9,291,38,Spain - National registration number<br />ESFCTU0000460250006814640000000000000000VUT0033232-V1<br /><br />Valencia - Regional registration number<br />VUT0033232-V
940297,Unique apartament in the heart of valencia,4708020,1462536934250701039,Happy Apartments Valencia,CIUTAT VELLA,EL MERCAT,39.47378622782471,-0.3810460598058807,Entire home/apt,158.0,1,19,2026-04-08,0.12,9,362,1,Spain - National registration number<br />ESFCTU0000460250006814640000000000000000VUT0033232-V1<br /><br />Valencia - Regional registration number<br />VUT0033229-V
959190,Primera línea de playa cerca de Valencia,5220094,1462675660362071374,Pilar,POBLATS DEL SUD,EL SALER,39.36427,-0.32109,Entire home/apt,,7,14,2025-09-12,0.09,1,0,1,Valencia - Regional registration number<br />VT-40126-V<br /><br />Spain - National registration number<br />ESFCTU000046058000137976000000000000000000VUT00401266
960147,Your home in the center of Valencia,4678441,1462663101007992508,Manuel,CIUTAT VELLA,EL CARME,39.47753,-0.37966,Entire home/apt,119.0,11,330,2026-05-31,2.09,1,321,25,Spain - National registration number<br />ESFCTU000046055000315540000000000000000000VT-37416-V9<br /><br />Valencia - Regional registration number<br />Exempt - seasonal rental
969359,"N1 Puerto,Playa,Ciudad Artes yCienc",5128253,1462673489684118461,Yulia,POBLATS MARITIMS,NATZARET,39.44833,-0.33492,Entire home/apt,101.0,1,384,2026-06-11,2.38,2,34,45,Spain - National registration number<br />ESFCTU000046052000479432000000000000000000VT-45199-V8<br /><br />Valencia - Regional registration number<br />VT-45199-V
970809,luxury apartment in the city center,5305009,1462677658028229773,Javier,CIUTAT VELLA,EL MERCAT,39.47376,-0.37578,Entire home/apt,140.0,2,51,2026-04-27,0.33,3,250,1,Valencia - Regional registration number<br />VT-37899-V<br /><br />Spain - National registration number<br />ESFCTU000046055000358875000000000000000000VT-37899-V8
983548,Flat next to Train Station & Subway,1120386,1462516081785339076,Ignacio,EXTRAMURS,LA ROQUETA,39.46527,-0.3801,Entire home/apt,128.0,1,930,2026-06-23,5.75,1,332,63,Spain - National registration number<br />ESHFTU000046063000238097001000000000000000VT-36327-V7<br /><br />Valencia - Regional registration number<br />VT-36327-V
993282,1 Bdr. APARTMENT CENTER VALENCIA,5456718,1462681288613398350,Carla,EXTRAMURS,LA ROQUETA,39.46614,-0.38086,Entire home/apt,146.0,2,212,2026-06-20,1.38,1,43,35,Valencia - Regional registration number<br />VT-45129-V<br /><br />Spain - National registration number<br />ESFCTU0000460630001309950000000000000000000VT45129-V8
995182,ART GALLERY APARTMENT IN THE CENTER,5318547,1462678001933762933,Serafin Y Maribel,CIUTAT VELLA,SANT FRANCESC,39.47062,-0.37194,Entire home/apt,617.0,1,432,2026-06-21,2.72,1,290,60,Spain - National registration number<br />ESFCTU000046025000236879000000000000000000VT-36511-V6<br /><br />Valencia - Regional registration number<br />VT-36511-V
1043431,Ático con terrazas en el carmen,3269596,1462624416573578832,Víctor,CIUTAT VELLA,EL MERCAT,39.47344,-0.37836,Entire home/apt,163.0,5,518,2026-06-17,3.26,2,191,36,Spain - National registration number<br />ESFCTU000046025000667109000000000000000000VT-36806-V7<br /><br />Valencia - Regional registration number<br />VT-36806-V
1075422,LOVELY APARTMENT IN VALENCIA,806645,1462514358291368015,Maria Jesus,PATRAIX,SAFRANAR,39.46145,-0.39847,Entire home/apt,97.0,1,59,2026-06-12,0.4,11,167,14,
1076404,Central and cozy apartment,2869421,1462526755511059835,Miguel Ángel,EXTRAMURS,ARRANCAPINS,39.46771240234375,-0.3846670091152191,Entire home/apt,160.0,2,352,2026-06-22,2.2,1,286,50,Spain - National registration number<br />ESFCTU000046063000018804000000000000000000VT-42121-V6<br /><br />Valencia - Regional registration number<br />VT-42121-V
1145001,"Big apartment in Valencia, Spain",6278049,1462702411551510804,Lourdes,L'EIXAMPLE,RUSSAFA,39.46043,-0.37314,Entire home/apt,166.0,1,169,2026-06-20,1.17,1,150,15,
1147656,Sunny Family Flat - Pool & Garden View,6258307,1462701919675408412,Isabel,CAMPANAR,SANT PAU,39.489837646484375,-0.4043799936771393,Entire home/apt,194.0,1,269,2026-06-17,1.7,1,158,21,Spain - National registration number<br />ESFCTU0000460530007818080000000000000000000VT-3802-V7<br /><br />Valencia - Regional registration number<br />VT-3802-V
1191980,ROOM PERFECT AND BETTER COMFORT,6516174,1462708415762872917,Grego,L'EIXAMPLE,RUSSAFA,39.46085,-0.37638,Private room,52.0,4,290,2026-06-03,1.82,2,187,23,
1232560,Acogedor ático con altillo en Ruzafa,5955237,1462693813911077003,Jose Luis,L'EIXAMPLE,RUSSAFA,39.46312,-0.37694,Entire home/apt,205.0,1,225,2026-06-08,1.43,1,98,38,Spain - National registration number<br />ESFCTU000046059000564960000000000000000000VT-38064-V7<br /><br />Valencia - Regional registration number<br />VT-38064-V
1308898,BUBBLE CARO FLAT- City Center- :D,7115413,1462723813989928587,Elena,CIUTAT VELLA,EL CARME,39.48005,-0.38036,Entire home/apt,188.0,3,471,2026-06-23,3.0,1,159,35,Valencia - Regional registration number<br />VT-36275-V<br /><br />Spain - National registration number<br />ESFCTU00004605700085372500000000000000000000VT36275V5
1331704,Trendy apartment in down town. WiFi,5824416,1462690558588599344,⁨F.⁩,L'EIXAMPLE,RUSSAFA,39.46139,-0.37657,Entire home/apt,86.0,2,200,2025-12-14,1.27,1,159,3,Valencia - Regional registration number<br />VT-44536-V
1381987,The heart of the old town,7483341,1462733143682809482,Juan Vicente,CIUTAT VELLA,EL CARME,39.47835,-0.37718,Private room,63.0,2,33,2019-06-10,0.21,1,178,0,
1400077,Central flat with sunny terrace,727214,1462527492204755579,Meike,CIUTAT VELLA,EL CARME,39.47837,-0.37671,Entire home/apt,122.0,3,235,2026-05-18,1.52,1,33,22,Valencia - Regional registration number<br />VT-46600-V<br /><br />Spain - National registration number<br />ESFCTU000046057000839651000000000000000000VT-46600-V6
1460051,BEAUTIFUL 2 BEDROOM FLAT WITH WIFI,6871400,1462717384958565946,Montse,L'EIXAMPLE,LA GRAN VIA,39.46449,-0.36583,Entire home/apt,168.0,11,250,2026-05-17,1.6,1,318,6,Spain - National registration number<br />ESFCNT00004605900028478300000000000000000000000000005<br /><br />Valencia - Regional registration number<br />Exempt - seasonal rental
